cell_num	coverage_mean	coverage_variance	eff_seq_err_rate	ado_rate	deletion_rate	insertion_rate	dataset	tool	snv_type	tool_setup	fine_tune_type	data_type	true_cell_names	cell_names	loci_info	true_ado_states	ado_states	true_positive	false_positive	true_negative	false_negative	recall	precision	f1_score	fall_out	true_positive_one_ado	false_positive_one_ado	true_negative_one_ado	false_negative_one_ado	recall_one_ado	precision_one_ado	f1_score_one_ado	fall_out_one_ado	true_positive_two_ados	false_positive_two_ados	true_negative_two_ados	false_negative_two_ados	recall_two_ados	precision_two_ados	f1_score_two_ados	fall_out_two_ados
40	20	10	0.001999	0.16334	0.0	0.0	0001	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0001/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0001/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0001	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0001/sieve_median.ado	3753	466	22241	660	0.8504418762746431	0.8895472860867504	0.8695551436515292	0.02052230589686	3753	466	22241	660	0.8504418762746431	0.8895472860867504	0.8695551436515292	0.02052230589686	0	0	27120	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0002	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0002/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0002/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0002	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0002/sieve_median.ado	2958	363	18001	518	0.8509781357882624	0.8906955736224029	0.870383992938061	0.0197669353082117	2958	363	18001	518	0.8509781357882624	0.8906955736224029	0.870383992938061	0.0197669353082117	0	0	21840	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0003	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0003/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0003/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0003	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0003/sieve_median.ado	3130	442	18654	614	0.8360042735042735	0.8762597984322509	0.8556588299617277	0.0231462086300795	3130	442	18654	614	0.8360042735042735	0.8762597984322509	0.8556588299617277	0.0231462086300795	0	0	22840	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0004	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0004/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0004/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0004	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0004/sieve_median.ado	3498	470	21214	618	0.8498542274052479	0.8815524193548387	0.8654131618010886	0.0216749677181331	3498	470	21214	618	0.8498542274052479	0.8815524193548387	0.8654131618010886	0.0216749677181331	0	0	25800	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0005	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0005/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0005/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0005	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0005/sieve_median.ado	3307	479	19415	599	0.8466461853558628	0.8734812466983624	0.8598543941757671	0.0240776113401025	3307	479	19415	599	0.8466461853558628	0.8734812466983624	0.8598543941757671	0.0240776113401025	0	0	23800	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0006	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0006/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0006/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0006	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0006/sieve_median.ado	3520	478	21463	739	0.8264850903968067	0.8804402201100551	0.8526099067457914	0.0217856980082949	3520	478	21463	739	0.8264850903968067	0.8804402201100551	0.8526099067457914	0.0217856980082949	0	0	26200	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0007	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0007/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0007/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0007	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0007/sieve_median.ado	3164	417	18397	542	0.8537506745817594	0.8835520804244624	0.8683957732949088	0.0221643457000106	3164	417	18397	542	0.8537506745817594	0.8835520804244624	0.8683957732949088	0.0221643457000106	0	0	22520	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0008	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0008/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0008/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0008	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0008/sieve_median.ado	3431	505	21252	732	0.8241652654335816	0.8716971544715447	0.8472650944561059	0.0232109206232476	3431	505	21252	732	0.8241652654335816	0.8716971544715447	0.8472650944561059	0.0232109206232476	0	0	25920	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0009	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0009/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0009/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0009	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0009/sieve_median.ado	3197	417	19306	560	0.850944902848017	0.8846153846153846	0.8674535341202008	0.0211428281701566	3197	417	19306	560	0.850944902848017	0.8846153846153846	0.8674535341202008	0.0211428281701566	0	0	23480	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0010	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0010/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0010/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0010	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0010/sieve_median.ado	3766	527	21745	642	0.854355716878403	0.8772420218961099	0.8656476267095735	0.0236619971264367	3766	527	21745	642	0.854355716878403	0.8772420218961099	0.8656476267095735	0.0236619971264367	0	0	26680	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0011	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0011/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0011/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0011	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0011/sieve_median.ado	4049	469	24497	705	0.8517038283550694	0.8961930057547588	0.8733822260569456	0.0187855483457502	4049	469	24497	705	0.8517038283550694	0.8961930057547588	0.8733822260569456	0.0187855483457502	0	0	29720	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0012	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0012/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0012/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0012	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0012/sieve_median.ado	4106	518	24570	726	0.8497516556291391	0.8879757785467128	0.8684433164128595	0.0206473214285714	4106	518	24570	726	0.8497516556291391	0.8879757785467128	0.8684433164128595	0.0206473214285714	0	0	29920	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0013	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0013/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0013/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0013	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0013/sieve_median.ado	2752	303	16265	480	0.8514851485148515	0.9008183306055646	0.8754572928264672	0.0182882665379043	2752	303	16265	480	0.8514851485148515	0.9008183306055646	0.8754572928264672	0.0182882665379043	0	0	19800	0	NA	NA	NA	0.0
40	20	10	0.001999	0.16334	0.0	0.0	0014	sieve	candidate_snvs	none_univ	mt	exc_cnv	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/snv_cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0014/sieve_median.cell_names	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0014/sieve_median.loci_info	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/simulated_data/results/ado_state_dir/ado_states.0014	/home/kang/research/SIEVE_benchmark_pipeline_04_01/benchmark_results/sieve/from_candidate/variant_calling/mt/exc_cnv/none_univ/0014/sieve_median.ado	3549	474	19831	546	0.8666666666666667	0.8821774794929157	0.8743532889874354	0.0233440039399162	3549	474	19831	546	0.8666666666666667	0.8821774794929157	0.8743532889874354	0.0233440039399162	0	0	24400	0	NA	NA	NA	0.0
